,condition,DTW
0,d_0.0,6.217413469483084
1,d_0.0,6.217413469483084
2,d_0.0,6.217413469483084
3,d_0.0,6.217413469483084
4,d_0.0,6.217413469483084
5,d_0.0,6.217413469483084
6,d_0.0,6.217413469483084
7,d_0.0,6.217413469483084
8,d_0.0,6.217413469483084
9,d_0.0,6.217413469483084
10,d_0.10,0.8212982701307249
11,d_0.10,2.7686468859559192
12,d_0.10,2.1228491931391553
13,d_0.10,2.7686468859559192
14,d_0.10,2.7686468859559192
15,d_0.10,2.7686468859559192
16,d_0.10,2.7686468859559192
17,d_0.10,2.0990339652732017
18,d_0.10,0.8212982701307249
19,d_0.10,1.512208394285471
20,d_0.25,2.0990339652732017
21,d_0.25,2.10425263339682
22,d_0.25,2.10425263339682
23,d_0.25,1.5122760137870521
24,d_0.25,0.8212982701307249
25,d_0.25,1.5122760137870521
26,d_0.25,2.1218317987106
27,d_0.25,1.5121407717600992
28,d_0.25,2.528580385978581
29,d_0.25,0.8212903051544094
30,d_0.50,0.8212903051544094
31,d_0.50,2.1003398479334883
32,d_0.50,1.5120731462105312
33,d_0.50,0.8212956151472025
34,d_0.50,1.5120731462105312
35,d_0.50,2.10425263339682
36,d_0.50,0.8212903051544094
37,d_0.50,1.5120731462105312
38,d_0.50,2.1208139162188084
39,d_0.50,0.8212956151472025
40,d_0.75,1.5173093863096412
41,d_0.75,1.5121407717600992
42,d_0.75,1.1113336795310533
43,d_0.75,1.5209859137503705
44,d_0.75,1.090958244790456
45,d_0.75,1.53626898192042
46,d_0.75,1.4762918164205974
47,d_0.75,0.8212929601550972
48,d_0.75,1.921311581467816
49,d_0.75,0.8797648954461104
50,d_0.90,1.2336565681656084
51,d_0.90,1.3063365811009273
52,d_0.90,1.3361562714487305
53,d_0.90,1.402673049684571
54,d_0.90,1.1717162799806327
55,d_0.90,1.1110202678081837
56,d_0.90,1.5441048573586182
57,d_0.90,0.8304824465817833
58,d_0.90,1.5400913449323368
59,d_0.90,1.7331902660275986
60,d_1.0,1.3503767683686398
61,d_1.0,1.0195039788363924
62,d_1.0,1.1796715942033849
63,d_1.0,1.443633753009402
64,d_1.0,0.9518606716384514
65,d_1.0,1.4349996710634245
66,d_1.0,1.299440223927761
67,d_1.0,1.06305935044911
68,d_1.0,1.3588893997786624
69,d_1.0,1.292918573744495
