condition,Xm
baseline,0.892052154
baseline,0.884190626
baseline,0.890201435
baseline,0.94594855
baseline,0.899488506
baseline,0.929237199
baseline,0.914308396
baseline,0.924689659
baseline,0.928562457
baseline,0.93771699
baseline,0.901704405
baseline,0.874882577
baseline,0.885471156
baseline,0.897838418
baseline,0.901812021
baseline,0.89212552
baseline,0.892629325
baseline,0.935318335
baseline,0.914159961
baseline,0.887324151
sand,0.684602461
sand,0.865179874
sand,0.443625454
sand,0.522722331
sand,0.92629766
sand,0.40325374
sand,0.671288494
sand,0.414473959
sand,0.600448478
sand,0.621846432
sand,0.639355942
sand,0.573238351
sand,0.663092603
sand,0.311732061
sand,0.517591757
sand,0.629505202
sand,0.700569796
sand,0.695606483
sand,0.521802243
sand,0.528224048
blocked,0.205910153
blocked,0.209845589
blocked,0.202894211
blocked,0.205506481
blocked,0.208748546
blocked,0.214453219
blocked,0.207719005
blocked,0.208451298
blocked,0.20051214
blocked,0.211803606
blocked,0.320352086
blocked,0.355080978
blocked,0.332752532
blocked,0.367345114
blocked,0.279461819
blocked,0.363213116
blocked,0.271278027
blocked,0.320897177
blocked,0.282432216
blocked,0.324823569
